Year,Capacity (kt),Feedstock,Type
2012,4,CO2+H2,E-methanol (Global)
2013,4,CO2+H2,E-methanol (Global)
2014,4,CO2+H2,E-methanol (Global)
2015,4,CO2+H2,E-methanol (Global)
2016,4,CO2+H2,E-methanol (Global)
2017,4,CO2+H2,E-methanol (Global)
2018,4,CO2+H2,E-methanol (Global)
2019,4,CO2+H2,E-methanol (Global)
2020,5.4,CO2+H2,E-methanol (Global)
2021,5.4,CO2+H2,E-methanol (Global)
2022,6,CO2+H2,E-methanol (Global)
2023,6,CO2+H2,E-methanol (Global)
2024,152.9,CO2+H2,E-methanol (Global)
2025,3557.88,CO2+H2,E-methanol (Global)
2026,5404.88,CO2+H2,E-methanol (Global)
2027,10081.48,CO2+H2,E-methanol (Global)
2028,12904.48,CO2+H2,E-methanol (Global)
2029,13364.48,CO2+H2,E-methanol (Global)
2025,480,Biomass,Bio-methanol (Global)
2026,1270,Biomass,Bio-methanol (Global)
2027,1670,Biomass,Bio-methanol (Global)
2028,1777,Biomass,Bio-methanol (Global)
2029,1777,Biomass,Bio-methanol (Global)
2024,100,Biomass+H2,Bio-methanol (Global)
2025,1300,Biomass+H2,Bio-methanol (Global)
2026,1900,Biomass+H2,Bio-methanol (Global)
2027,2200,Biomass+H2,Bio-methanol (Global)
2028,2500,Biomass+H2,Bio-methanol (Global)
2029,2500,Biomass+H2,Bio-methanol (Global)
2016,200,Biomethane,Bio-methanol (Global)
2017,200,Biomethane,Bio-methanol (Global)
2018,216.5,Biomethane,Bio-methanol (Global)
2019,216.5,Biomethane,Bio-methanol (Global)
2020,326.5,Biomethane,Bio-methanol (Global)
2021,330.44,Biomethane,Bio-methanol (Global)
2022,415.44,Biomethane,Bio-methanol (Global)
2023,462.94,Biomethane,Bio-methanol (Global)
2024,462.94,Biomethane,Bio-methanol (Global)
2025,662.94,Biomethane,Bio-methanol (Global)
2026,1182.94,Biomethane,Bio-methanol (Global)
2027,1182.94,Biomethane,Bio-methanol (Global)
2028,1182.94,Biomethane,Bio-methanol (Global)
2029,1182.94,Biomethane,Bio-methanol (Global)
2012,2,Black liquor,Bio-methanol (Global)
2013,2,Black liquor,Bio-methanol (Global)
2014,2,Black liquor,Bio-methanol (Global)
2015,2,Black liquor,Bio-methanol (Global)
2016,2,Black liquor,Bio-methanol (Global)
2017,2,Black liquor,Bio-methanol (Global)
2018,2,Black liquor,Bio-methanol (Global)
2019,2,Black liquor,Bio-methanol (Global)
2020,7.25,Black liquor,Bio-methanol (Global)
2021,7.25,Black liquor,Bio-methanol (Global)
2022,7.25,Black liquor,Bio-methanol (Global)
2023,7.25,Black liquor,Bio-methanol (Global)
2024,19.25,Black liquor,Bio-methanol (Global)
2025,19.25,Black liquor,Bio-methanol (Global)
2026,19.25,Black liquor,Bio-methanol (Global)
2027,19.25,Black liquor,Bio-methanol (Global)
2028,19.25,Black liquor,Bio-methanol (Global)
2029,19.25,Black liquor,Bio-methanol (Global)
2010,1,Residual waste,Bio-methanol (Global)
2011,1,Residual waste,Bio-methanol (Global)
2012,1,Residual waste,Bio-methanol (Global)
2013,1,Residual waste,Bio-methanol (Global)
2014,1,Residual waste,Bio-methanol (Global)
2015,1,Residual waste,Bio-methanol (Global)
2016,1,Residual waste,Bio-methanol (Global)
2017,1,Residual waste,Bio-methanol (Global)
2018,1,Residual waste,Bio-methanol (Global)
2019,1,Residual waste,Bio-methanol (Global)
2020,1,Residual waste,Bio-methanol (Global)
2021,1,Residual waste,Bio-methanol (Global)
2022,1,Residual waste,Bio-methanol (Global)
2023,51,Residual waste,Bio-methanol (Global)
2024,166,Residual waste,Bio-methanol (Global)
2025,411,Residual waste,Bio-methanol (Global)
2026,571,Residual waste,Bio-methanol (Global)
2027,1486,Residual waste,Bio-methanol (Global)
2028,1552,Residual waste,Bio-methanol (Global)
2029,1552,Residual waste,Bio-methanol (Global)
2025,87.5,Residual waste+Biomass,Bio-methanol (Global)
2026,177.5,Residual waste+Biomass,Bio-methanol (Global)
2027,297.5,Residual waste+Biomass,Bio-methanol (Global)
2028,297.5,Residual waste+Biomass,Bio-methanol (Global)
2029,297.5,Residual waste+Biomass,Bio-methanol (Global)
2025,100,Residual waste+H2,Bio-methanol (Global)
2026,100,Residual waste+H2,Bio-methanol (Global)
2027,100,Residual waste+H2,Bio-methanol (Global)
2028,337,Residual waste+H2,Bio-methanol (Global)
2029,337,Residual waste+H2,Bio-methanol (Global)
2020,1.4,CO2+H2,E-methanol (China)
2021,1.4,CO2+H2,E-methanol (China)
2022,1.4,CO2+H2,E-methanol (China)
2023,1.4,CO2+H2,E-methanol (China)
2024,89.4,CO2+H2,E-methanol (China)
2025,2646.9,CO2+H2,E-methanol (China)
2026,4056.9,CO2+H2,E-methanol (China)
2027,4734.9,CO2+H2,E-methanol (China)
2028,5554.9,CO2+H2,E-methanol (China)
2029,5554.9,CO2+H2,E-methanol (China)
2020,0,Biomass,Bio-methanol (China)
2021,0,Biomass,Bio-methanol (China)
2022,0,Biomass,Bio-methanol (China)
2023,0,Biomass,Bio-methanol (China)
2024,0,Biomass,Bio-methanol (China)
2025,470,Biomass,Bio-methanol (China)
2026,1240,Biomass,Bio-methanol (China)
2027,1240,Biomass,Bio-methanol (China)
2028,1240,Biomass,Bio-methanol (China)
2029,1240,Biomass,Bio-methanol (China)
2020,0,Biomass+H2,Bio-methanol (China)
2021,0,Biomass+H2,Bio-methanol (China)
2022,0,Biomass+H2,Bio-methanol (China)
2023,0,Biomass+H2,Bio-methanol (China)
2024,0,Biomass+H2,Bio-methanol (China)
2025,1200,Biomass+H2,Bio-methanol (China)
2026,1800,Biomass+H2,Bio-methanol (China)
2027,2100,Biomass+H2,Bio-methanol (China)
2028,2100,Biomass+H2,Bio-methanol (China)
2029,2100,Biomass+H2,Bio-methanol (China)
2020,0,Residual waste,Bio-methanol (China)
2021,0,Residual waste,Bio-methanol (China)
2022,0,Residual waste,Bio-methanol (China)
2023,50,Residual waste,Bio-methanol (China)
2024,50,Residual waste,Bio-methanol (China)
2025,50,Residual waste,Bio-methanol (China)
2026,50,Residual waste,Bio-methanol (China)
2027,50,Residual waste,Bio-methanol (China)
2028,50,Residual waste,Bio-methanol (China)
2029,50,Residual waste,Bio-methanol (China)